variable,table,long_format_df10,variable_col,value_col,order_index,order_df10_tables,coded_na_values,var_df11,var_in_df10,is_coded,code_table,code_col,label_col
SSN,,FALSE,,,0,1,,meta_id_ssn,TRUE,FALSE,,,
Site,provTable,FALSE,,,1,2,,meta_loc_site,TRUE,FALSE,,,
Subsite,provTable,FALSE,,,2,3,NONE,meta_loc_subsite,TRUE,FALSE,,,
Unit,provTable,FALSE,,,3,4,,meta_loc_unit,TRUE,FALSE,,,
Northing,provTable,FALSE,,,4,5,-999,meta_loc_northing,TRUE,FALSE,,,
Easting,provTable,FALSE,,,5,6,-999,meta_loc_easting,TRUE,FALSE,,,
SSN,codeTable,TRUE,,,0,1000,,meta_id_ssn,TRUE,FALSE,,,
workFie1,codeTable,TRUE,Variable,Code,6,1001,"Where == ""Missing""",meta_pers_field1,TRUE,TRUE,codeCodes,Code,Description
workFie2,codeTable,TRUE,Variable,Code,7,1002,"Where == ""Missing""",meta_pers_field2,TRUE,TRUE,codeCodes,Code,Description
workFie3,codeTable,TRUE,Variable,Code,8,1003,"Where == ""Missing""",meta_pers_field3,TRUE,TRUE,codeCodes,Code,Description
workFie4,codeTable,TRUE,Variable,Code,9,1004,"Where == ""Missing""",meta_pers_field4,TRUE,TRUE,codeCodes,Code,Description
workFie5,codeTable,TRUE,Variable,Code,10,1005,"Where == ""Missing""",meta_pers_field5,TRUE,TRUE,codeCodes,Code,Description
collectionYear,codeTable,TRUE,Variable,Code,11,1006,"Where == ""Missing""",meta_time_survcollect_yr,TRUE,TRUE,codeCodes,Code,Description
collectionQuarter,codeTable,TRUE,Variable,Code,12,1007,"Where == ""Missing""",meta_time_survcollect_qtr,TRUE,TRUE,codeCodes,Code,Description
stoneQuant,codeTable,TRUE,Variable,Code,16,1008,"Where == ""Missing""",arch_mat_stonequant,TRUE,TRUE,codeCodes,Code,Description
stoneDist,codeTable,TRUE,Variable,Code,17,1009,"Where == ""Missing""",arch_mat_stonedist,TRUE,TRUE,codeCodes,Code,Description
lajas,codeTable,TRUE,Variable,Code,19,1010,"Where == ""Missing""",arch_mat_lajas,TRUE,TRUE,codeCodes,Code,Description
tepetate,codeTable,TRUE,Variable,Code,20,1011,"Where == ""Missing""",arch_mat_tepetate,TRUE,TRUE,codeCodes,Code,Description
adobe,codeTable,TRUE,Variable,Code,21,1012,"Where == ""Missing""",arch_mat_adobe,TRUE,TRUE,codeCodes,Code,Description
xalnene,codeTable,TRUE,Variable,Code,22,1013,"Where == ""Missing""",arch_mat_xalnene,TRUE,TRUE,codeCodes,Code,Description
cascajo,codeTable,TRUE,Variable,Code,23,1014,"Where == ""Missing""",arch_mat_cascajo,TRUE,TRUE,codeCodes,Code,Description
concrete,codeTable,TRUE,Variable,Code,24,1015,"Where == ""Missing""",arch_mat_concrete,TRUE,TRUE,codeCodes,Code,Description
plasterUnpaint,codeTable,TRUE,Variable,Code,25,1016,"Where == ""Missing""",arch_mat_plasterunpaint,TRUE,TRUE,codeCodes,Code,Description
plasterPaint,codeTable,TRUE,Variable,Code,26,1017,"Where == ""Missing""",arch_mat_plasterpaint,TRUE,TRUE,codeCodes,Code,Description
burntClay,codeTable,TRUE,Variable,Code,27,1018,"Where == ""Missing""",arch_mat_burntclay,TRUE,TRUE,codeCodes,Code,Description
burnedStruct,codeTable,TRUE,Variable,Code,29,1019,"Where == ""Missing""",arch_mat_burnedstruct,TRUE,TRUE,codeCodes,Code,Description
