variable,table,order_index,order_df8_tables,is_coded,coded_na_values,var_df11,var_in_df8
ssn,ssn_master,0,1,FALSE,,meta_id_ssn,TRUE
ssn,v201,0,1001,FALSE,,meta_id_ssn,TRUE
fldwrk1,v201,6,1002,TRUE,-1,meta_pers_field1,TRUE
fldwrk2,v201,7,1003,TRUE,-1,meta_pers_field2,TRUE
fldwrk3,v201,8,1004,TRUE,-1,meta_pers_field3,TRUE
fldwrk4,v201,9,1005,TRUE,-1,meta_pers_field4,TRUE
fldwrk5,v201,10,1006,TRUE,-1,meta_pers_field5,TRUE
collyear,v201,11,1007,FALSE,-1,meta_time_survcollect_yr,TRUE
collqurt,v201,12,1008,TRUE,-1,meta_time_survcollect_qtr,TRUE
lstbuild,v201,13,1009,TRUE,-1,art_chron_lastbuildphase,TRUE
burials,v201,14,1010,TRUE,-1,arch_burials,TRUE
midden,v201,15,1011,TRUE,-1,arch_midden,TRUE
qntstone,v201,16,1012,TRUE,-1,arch_mat_stonequant,TRUE
dststone,v201,17,1013,TRUE,-1,arch_mat_stonedist,TRUE
ssn,v202,0,2001,FALSE,,meta_id_ssn,TRUE
cutstone,v202,18,2002,TRUE,-1,arch_mat_cutstone,TRUE
lajas,v202,19,2003,TRUE,-1,arch_mat_lajas,TRUE
tepetate,v202,20,2004,TRUE,-1,arch_mat_tepetate,TRUE
adobe,v202,21,2005,TRUE,-1,arch_mat_adobe,TRUE
xalnene,v202,22,2006,TRUE,-1,arch_mat_xalnene,TRUE
cascajo,v202,23,2007,TRUE,-1,arch_mat_cascajo,TRUE
concrete,v202,24,2008,TRUE,-1,arch_mat_concrete,TRUE
plstrunp,v202,25,2009,TRUE,-1,arch_mat_plasterunpaint,TRUE
plstrpnt,v202,26,2010,TRUE,-1,arch_mat_plasterpaint,TRUE
burnclay,v202,27,2011,TRUE,-1,arch_mat_burntclay,TRUE
almena,v202,28,2012,FALSE,-1,arch_mat_almena,TRUE
brndstrc,v202,29,2013,TRUE,-1,arch_mat_burnedstruct,TRUE
ssn,v203,0,3001,FALSE,,meta_id_ssn,TRUE
floors,v203,30,3002,TRUE,-1,arch_situ_floors,TRUE
walls,v203,31,3003,TRUE,-1,arch_situ_walls,TRUE
drains,v203,32,3004,TRUE,-1,arch_situ_drains,TRUE
drains,v203,144,3004,FALSE,-1,art_lith_gs_drains,TRUE
wallfixt,v203,33,3005,TRUE,-1,arch_situ_wallfixture,TRUE
wallfixt,v203,133,3005,FALSE,-1,art_lith_gs_wallfixtures,TRUE
murals,v203,34,3006,TRUE,-1,arch_situ_murals,TRUE
COLUMNS,v203,35,3007,TRUE,-1,arch_situ_columns,TRUE
taludes,v203,36,3008,TRUE,-1,arch_situ_taludes,TRUE
tableros,v203,37,3009,TRUE,-1,arch_situ_tableros,TRUE
situflrs,v203,38,3010,TRUE,-1,arch_mat_floormaterials,TRUE
taludstn,v203,39,3011,TRUE,-1,arch_mat_wallcore_stone,TRUE
wallmatr,v203,40,3012,TRUE,,arch_mat_wallcore_other,TRUE
wallface,v203,41,3013,TRUE,-1,arch_mat_wallfacing,TRUE
ssn,v204,0,4001,FALSE,,meta_id_ssn,TRUE
intrushd,v204,42,4002,TRUE,-1,art_chron_intrusivesherd,TRUE
height,v204,43,4003,FALSE,-1,arch_situ_height,TRUE
pmicarc1,v204,44,4004,TRUE,-1,arch_archinterp1_pmic,TRUE
mctlarc1,v204,45,4005,TRUE,-1,arch_archinterp1_mctl,TRUE
mctlarc1,v204,62,4005,TRUE,-1,arch_cplx_archinterp1_mctl,TRUE
xlmearc1,v204,46,4006,TRUE,-1,arch_archinterp1_xlme,TRUE
oxtoarc1,v204,47,4007,TRUE,-1,arch_archinterp1_oxto,TRUE
pmicarc2,v204,48,4008,TRUE,,arch_archinterp2_pmic,TRUE
mctlarc2,v204,49,4009,TRUE,,arch_archinterp2_mctl,TRUE
mctlarc2,v204,65,4009,TRUE,-1,arch_cplx_archinterp2_mctl,TRUE
xlmearc2,v204,50,4010,TRUE,,arch_archinterp2_xlme,TRUE
oxtoarc2,v204,51,4011,TRUE,,arch_archinterp2_oxto,TRUE
qualcnst,v204,52,4012,TRUE,-1,arch_constructqual,TRUE
pmicfnc1,v204,53,4013,TRUE,-1,arch_funcinterp1_pmic,TRUE
ssn,v205,0,5001,FALSE,,meta_id_ssn,TRUE
mctlfnc1,v205,54,5002,TRUE,-1,arch_funcinterp1_mctl,TRUE
xlmefnc1,v205,55,5003,TRUE,-1,arch_funcinterp1_xlme,TRUE
oxtofnc1,v205,56,5004,TRUE,-1,arch_funcinterp1_oxto,TRUE
pmicfnc2,v205,57,5005,TRUE,,arch_funcinterp2_pmic,TRUE
mctlfnc2,v205,58,5006,TRUE,,arch_funcinterp2_mctl,TRUE
xlmefnc2,v205,59,5007,TRUE,,arch_funcinterp2_xlme,TRUE
oxtofnc2,v205,60,5008,TRUE,,arch_funcinterp2_oxto,TRUE
pttzcx1,v205,61,5009,TRUE,-1,arch_cplx_archinterp1_patz,TRUE
xlmecx1,v205,63,5011,TRUE,-1,arch_cplx_archinterp1_xlmt,TRUE
pttzcx2,v205,64,5012,TRUE,-1,arch_cplx_archinterp2_patz,TRUE
ssn,v206,0,6001,FALSE,,meta_id_ssn,TRUE
xlmecx2,v206,66,6002,TRUE,-1,arch_cplx_archinterp2_xlmt,TRUE
pttzcxfn,v206,87,6003,TRUE,-1,arch_mcplx_funcinterp_patz,TRUE
pttzcxfn,v206,67,6003,TRUE,,arch_cplx_funcinterp_patz,TRUE
mctlcxfn,v206,88,6004,TRUE,-1,arch_mcplx_funcinterp_mctl,TRUE
mctlcxfn,v206,68,6004,TRUE,,arch_cplx_funcinterp_mctl,TRUE
xlmecxfn,v206,89,6005,TRUE,-1,arch_mcplx_funcinterp_xlmt,TRUE
xlmecxfn,v206,69,6005,TRUE,,arch_cplx_funcinterp_xlmt,TRUE
pttzrsfn,v206,70,6006,TRUE,,arch_cplx_funcinterp_res_patz,TRUE
mctlrsfn,v206,71,6007,TRUE,,arch_cplx_funcinterp_res_mctl,TRUE
xlmersfn,v206,72,6008,TRUE,,arch_cplx_funcinterp_res_xlmt,TRUE
pttztmfn,v206,73,6009,TRUE,-1,arch_cplx_funcinterp_tmpl_patz,TRUE
mctltmfn,v206,74,6010,TRUE,-1,arch_cplx_funcinterp_tmpl_mctl,TRUE
xlmetmfn,v206,75,6011,TRUE,-1,arch_cplx_funcinterp_tmpl_xlmt,TRUE
pttzcvfn,v206,76,6012,TRUE,-1,arch_cplx_funcinterp_civ_patz,TRUE
mctlcvfn,v206,77,6013,TRUE,-1,arch_cplx_funcinterp_civ_mctl,TRUE
ssn,v207,0,7001,FALSE,,meta_id_ssn,TRUE
xlmecvfn,v207,78,7002,TRUE,-1,arch_cplx_funcinterp_civ_xlmt,TRUE
xlmeotfn,v207,79,7003,TRUE,-1,arch_cplx_funcinterp_other_xlmt,TRUE
cxunitn,v207,80,7004,FALSE,-1,arch_cplx_num,TRUE
mcxunitn,v207,82,7005,FALSE,-1,arch_mcplx_num,TRUE
pttzmcx,v207,84,7006,TRUE,-1,arch_mcplx_patz,TRUE
mctlmcx,v207,85,7007,TRUE,-1,arch_mcplx_mctl,TRUE
xlmemcx,v207,86,7008,TRUE,-1,arch_mcplx_xlmt,TRUE
nhoodchr,v207,90,7012,TRUE,-1,arch_neighborhood,TRUE
frstndwl,v207,91,7013,TRUE,-1,arch_situ_freestandwall,TRUE
ssn,v208,0,8001,FALSE,,meta_id_ssn,TRUE
wells,v208,92,8002,TRUE,-1,arch_situ_wells,TRUE
jagueys,v208,93,8003,TRUE,-1,arch_situ_jagueys,TRUE
puestos,v208,94,8004,TRUE,-1,arch_situ_puestos,TRUE
milpa,v208,95,8005,TRUE,-1,mod_veg_milpa,TRUE
barley,v208,96,8006,TRUE,-1,mod_veg_barley,TRUE
beans,v208,97,8007,TRUE,-1,mod_veg_beans,TRUE
cutalfal,v208,98,8008,TRUE,-1,mod_veg_alfalfacut,TRUE
uncalfal,v208,99,8009,TRUE,-1,mod_veg_alfalfauncut,TRUE
nopales,v208,100,8010,TRUE,-1,mod_veg_nopales,TRUE
magueys,v208,101,8011,TRUE,-1,mod_veg_magueys,TRUE
fallowld,v208,102,8012,TRUE,-1,mod_veg_fallow,TRUE
uncultiv,v208,103,8013,TRUE,-1,mod_veg_uncultivate,TRUE
ssn,v209,0,9001,FALSE,,meta_id_ssn,TRUE
cropwatr,v209,104,9002,TRUE,-1,mod_cropwater,TRUE
plowing,v209,105,9003,TRUE,-1,mod_plowing,TRUE
cultpits,v209,106,9004,TRUE,-1,mod_disturb_pitcultivate,TRUE
lootpits,v209,107,9005,TRUE,-1,mod_disturb_pit_loot,TRUE
archexcv,v209,108,9006,TRUE,-1,mod_disturb_archaeoexcav,TRUE
miscpits,v209,109,9007,TRUE,-1,mod_disturb_pit_misc,TRUE
qurrying,v209,110,9008,TRUE,-1,mod_disturb_quarrying,TRUE
clrstone,v209,111,9009,TRUE,-1,mod_disturb_stoneclearing,TRUE
ldlvling,v209,112,9010,TRUE,-1,mod_disturb_landleveling,TRUE
terracng,v209,113,9011,TRUE,-1,mod_disturb_terracing,TRUE
ditching,v209,114,9012,TRUE,-1,mod_disturb_ditching,TRUE
roadorrr,v209,115,9013,TRUE,-1,mod_disturb_roadorrail,TRUE
ssn,v210,0,10001,FALSE,,meta_id_ssn,TRUE
rcntwall,v210,116,10002,TRUE,-1,mod_disturb_recentwall,TRUE
