variable,table,order_index,order_df9_tables,is_coded,coded_na_values,code_table,code_col,label_col,var_df11,var_in_df9
ssn,location,0,1,FALSE,,,,,meta_id_ssn,TRUE
site,location,1,2,FALSE,,,,,meta_loc_site,TRUE
subsite,location,2,3,FALSE,NONE,,,,meta_loc_subsite,TRUE
unit,location,3,4,FALSE,,,,,meta_loc_unit,TRUE
northing,location,4,5,FALSE,-999,,,,meta_loc_northing,TRUE
easting,location,5,6,FALSE,-999,,,,meta_loc_easting,TRUE
ssn,admin,0,1001,FALSE,,,,,meta_id_ssn,TRUE
collectionYear,admin,11,1002,FALSE,-1,,,,meta_time_survcollect_yr,TRUE
collectionQuarter,admin,12,1003,TRUE,-1,Codes_quarter,code,description,meta_time_survcollect_qtr,TRUE
analysisYear,admin,190,1004,FALSE,-1,,,,meta_time_analysis_yr,TRUE
analysisQuarter,admin,191,1005,TRUE,-1,Codes_quarter,code,description,meta_time_analysis_qtr,TRUE
ssn,description,0,2001,FALSE,,,,,meta_id_ssn,TRUE
midden,description,15,2002,TRUE,-1,Codes_midden,code,description,arch_midden,TRUE
burials,description,14,2003,TRUE,-1,Codes_burials,code,description,arch_burials,TRUE
height,description,43,2004,FALSE,-1,,,,arch_situ_height,TRUE
slope,description,124,2005,TRUE,-1,Codes_slope,code,description,mod_slope,TRUE
areaSite,description,203,2006,FALSE,-1,,,,meta_loc_site_area,TRUE
areaStruct,description,289,2007,FALSE,-1,,,,arch_struct_area,TRUE
lastBuildPhase,description,13,2008,TRUE,-1,Codes_lastBuildPhase,code,description,art_chron_lastbuildphase,TRUE
ceramicAbundance,description,193,2009,TRUE,-1,Codes_ceramicAbundance,code,description,art_cer_abundance,TRUE
intrusiveSherd,description,42,2010,TRUE,-1,Codes_intrusiveSherd,code,description,art_chron_intrusivesherd,TRUE
ssn,condition,0,3001,FALSE,,,,,meta_id_ssn,TRUE
milpa,condition,95,3002,TRUE,-1,Codes_vegetation,code,description,mod_veg_milpa,TRUE
barley,condition,96,3003,TRUE,-1,Codes_vegetation,code,description,mod_veg_barley,TRUE
beans,condition,97,3004,TRUE,-1,Codes_vegetation,code,description,mod_veg_beans,TRUE
alfalfaCut,condition,98,3005,TRUE,-1,Codes_vegetation,code,description,mod_veg_alfalfacut,TRUE
alfalfaUncut,condition,99,3006,TRUE,-1,Codes_vegetation,code,description,mod_veg_alfalfauncut,TRUE
nopales,condition,100,3007,TRUE,-1,Codes_vegetation,code,description,mod_veg_nopales,TRUE
magueys,condition,101,3008,TRUE,-1,Codes_vegetation,code,description,mod_veg_magueys,TRUE
fallow,condition,102,3009,TRUE,-1,Codes_vegetation,code,description,mod_veg_fallow,TRUE
uncultivate,condition,103,3010,TRUE,-1,Codes_vegetation,code,description,mod_veg_uncultivate,TRUE
cropWater,condition,104,3011,TRUE,-1,Codes_water,code,description,mod_cropwater,TRUE
plowing,condition,105,3012,TRUE,-1,Codes_plowing,code,description,mod_plowing,TRUE
pitCultivate,condition,106,3013,TRUE,-1,Codes_altering_features,code,description,mod_disturb_pitcultivate,TRUE
pitLoot,condition,107,3014,TRUE,-1,Codes_altering_features,code,description,mod_disturb_pit_loot,TRUE
pitMisc,condition,109,3015,TRUE,-1,Codes_altering_features,code,description,mod_disturb_pit_misc,TRUE
archaeoExcRest,condition,108,3016,TRUE,-1,Codes_altering_features,code,description,mod_disturb_archaeoexcav,TRUE
quarrying,condition,110,3017,TRUE,-1,Codes_altering_features,code,description,mod_disturb_quarrying,TRUE
stoneClearing,condition,111,3018,TRUE,-1,Codes_altering_features,code,description,mod_disturb_stoneclearing,TRUE
landLeveling,condition,112,3019,TRUE,-1,Codes_altering_features,code,description,mod_disturb_landleveling,TRUE
terracing,condition,113,3020,TRUE,-1,Codes_altering_features,code,description,mod_disturb_terracing,TRUE
ditching,condition,114,3021,TRUE,-1,Codes_altering_features,code,description,mod_disturb_ditching,TRUE
roadOrRail,condition,115,3022,TRUE,-1,Codes_altering_features,code,description,mod_disturb_roadorrail,TRUE
recentWall,condition,116,3023,TRUE,-1,Codes_altering_features,code,description,mod_disturb_recentwall,TRUE
stoneRows,condition,117,3024,TRUE,-1,Codes_altering_features,code,description,mod_disturb_stonerows,TRUE
recentBuild,condition,118,3025,TRUE,-1,Codes_altering_features,code,description,mod_disturb_recentbuild,TRUE
dam,condition,119,3026,TRUE,-1,Codes_altering_features,code,description,mod_disturb_dam,TRUE
jaguey,condition,120,3027,TRUE,-1,Codes_altering_features,code,description,mod_disturb_jaguey,TRUE
erosion,condition,121,3028,TRUE,-1,Codes_altering_features,code,description,mod_disturb_erosion,TRUE
silting,condition,122,3029,TRUE,-1,Codes_altering_features,code,description,mod_disturb_silting,TRUE
siteAlteration,condition,123,3030,TRUE,-1,Codes_overallcondition,code,description,mod_disturb_tot,TRUE
ssn,archMaterial,0,4001,FALSE,,,,,meta_id_ssn,TRUE
stoneQuant,archMaterial,16,4002,TRUE,-1,Codes_stoneQuant,code,description,arch_mat_stonequant,TRUE
stoneDist,archMaterial,17,4003,TRUE,-1,Codes_stoneDist,code,description,arch_mat_stonedist,TRUE
stoneCut,archMaterial,18,4004,TRUE,-1,Codes_materials,code,description,arch_mat_cutstone,TRUE
lajas,archMaterial,19,4005,TRUE,-1,Codes_materials,code,description,arch_mat_lajas,TRUE
tepetate,archMaterial,20,4006,TRUE,-1,Codes_materials,code,description,arch_mat_tepetate,TRUE
adobe,archMaterial,21,4007,TRUE,-1,Codes_materials,code,description,arch_mat_adobe,TRUE
xalnene,archMaterial,22,4008,TRUE,-1,Codes_materials,code,description,arch_mat_xalnene,TRUE
cascajo,archMaterial,23,4009,TRUE,-1,Codes_materials,code,description,arch_mat_cascajo,TRUE
concrete,archMaterial,24,4010,TRUE,-1,Codes_materials,code,description,arch_mat_concrete,TRUE
plasterPaint,archMaterial,26,4011,TRUE,-1,Codes_materials,code,description,arch_mat_plasterpaint,TRUE
plasterUnpaint,archMaterial,25,4012,TRUE,-1,Codes_materials,code,description,arch_mat_plasterunpaint,TRUE
burntClay,archMaterial,27,4013,TRUE,-1,Codes_materials,code,description,arch_mat_burntclay,TRUE
almena,archMaterial,28,4014,FALSE,-1,,,,arch_mat_almena,TRUE
burnedStruct,archMaterial,29,4015,TRUE,-1,Codes_burnedStruct,code,description,arch_mat_burnedstruct,TRUE
floors,archMaterial,30,4016,TRUE,-1,Codes_archFeatures,code,description,arch_situ_floors,TRUE
walls,archMaterial,31,4017,TRUE,-1,Codes_archFeatures,code,description,arch_situ_walls,TRUE
drains,archMaterial,32,4018,TRUE,-1,Codes_archFeatures,code,description,arch_situ_drains,TRUE
wallFixtures,archMaterial,33,4019,TRUE,-1,Codes_archFeatures,code,description,arch_situ_wallfixture,TRUE
murals,archMaterial,34,4020,TRUE,-1,Codes_archFeatures,code,description,arch_situ_murals,TRUE
columns,archMaterial,35,4021,TRUE,-1,Codes_archFeatures,code,description,arch_situ_columns,TRUE
taludes,archMaterial,36,4022,TRUE,-1,Codes_archFeatures,code,description,arch_situ_taludes,TRUE
tableros,archMaterial,37,4023,TRUE,-1,Codes_archFeatures,code,description,arch_situ_tableros,TRUE
floorMaterial,archMaterial,38,4024,TRUE,-1,Codes_FloorMat,code,description,arch_mat_floormaterials,TRUE
wallCoreStone,archMaterial,39,4025,TRUE,-1,Codes_wallCoreStone,code,description,arch_mat_wallcore_stone,TRUE
wallCoreOthMat,archMaterial,40,4026,TRUE,,Codes_wallCoreOther,code,description,arch_mat_wallcore_other,TRUE
wallFacing,archMaterial,41,4027,TRUE,-1,Codes_wallFacing,code,description,arch_mat_wallfacing,TRUE
wells,archMaterial,92,4028,TRUE,-1,Codes_otherArchFeatures,code,description,arch_situ_wells,TRUE
jagueys,archMaterial,93,4029,TRUE,-1,Codes_otherArchFeatures,code,description,arch_situ_jagueys,TRUE
puestos,archMaterial,94,4030,TRUE,-1,Codes_otherArchFeatures,code,description,arch_situ_puestos,TRUE
freeStandWall,archMaterial,91,4031,TRUE,-1,Codes_otherArchFeatures,code,description,arch_situ_freestandwall,TRUE
ssn,archinterp,0,5001,FALSE,,,,,meta_id_ssn,TRUE
neighborhoodChar,archinterp,90,5002,TRUE,-1,Codes_neighborhoodChar,code,description,arch_neighborhood,TRUE
constructQual,archInterp,52,5003,TRUE,-1,Codes_ConstructQual,code,description,arch_constructqual,TRUE
boundInfoQual,archInterp,291,5004,TRUE,-1,Codes_boundInfoQual,code,description,arch_struct_boundary_dataquality,TRUE
insubstantialCount,archInterp,290,5005,FALSE,-1,,,,arch_struct_insubstantial,TRUE
arch1PMic,archInterp,44,5006,TRUE,-1,Codes_ArchInterpPrim,code,description,arch_archinterp1_pmic,TRUE
arch1McTl,archInterp,45,5007,TRUE,-1,Codes_ArchInterpPrim,code,description,arch_archinterp1_mctl,TRUE
arch1XlMe,archInterp,46,5008,TRUE,-1,Codes_ArchInterpPrim,code,description,arch_archinterp1_xlme,TRUE
arch1Oxto,archInterp,47,5009,TRUE,-1,Codes_ArchInterpPrim,code,description,arch_archinterp1_oxto,TRUE
arch2PMic,archInterp,48,5010,TRUE,,Codes_ArchInterpAltern,code,description,arch_archinterp2_pmic,TRUE
arch2McTl,archInterp,49,5011,TRUE,,Codes_ArchInterpAltern,code,description,arch_archinterp2_mctl,TRUE
arch2XlMe,archInterp,50,5012,TRUE,,Codes_ArchInterpAltern,code,description,arch_archinterp2_xlme,TRUE
arch2Oxto,archInterp,51,5013,TRUE,,Codes_ArchInterpAltern,code,description,arch_archinterp2_oxto,TRUE
func1PMic,archInterp,53,5014,TRUE,-1,Codes_FuncInterpPrim,code,description,arch_funcinterp1_pmic,TRUE
func1McTl,archInterp,54,5015,TRUE,-1,Codes_FuncInterpPrim,code,description,arch_funcinterp1_mctl,TRUE
func1XlMe,archInterp,55,5016,TRUE,-1,Codes_FuncInterpPrim,code,description,arch_funcinterp1_xlme,TRUE
func1Oxto,archInterp,56,5017,TRUE,-1,Codes_FuncInterpPrim,code,description,arch_funcinterp1_oxto,TRUE
func2PMic,archInterp,57,5018,TRUE,,Codes_FuncInterpAltern,code,description,arch_funcinterp2_pmic,TRUE
func2McTl,archInterp,58,5019,TRUE,,Codes_FuncInterpAltern,code,description,arch_funcinterp2_mctl,TRUE
func2XlMe,archInterp,59,5020,TRUE,,Codes_FuncInterpAltern,code,description,arch_funcinterp2_xlme,TRUE
func2Oxto,archInterp,60,5021,TRUE,,Codes_FuncInterpAltern,code,description,arch_funcinterp2_oxto,TRUE
