order_index,var_rean_df3,variable,table,order_rean_df2_tables,coded_na_values,is_coded,var_in_rean_df2
0,meta_id_ssn,ssn,REAN_00,1,,FALSE,TRUE
1,meta_loc_unit,unit,REAN_00,2,,FALSE,TRUE
2,meta_loc_site,site,REAN_00,3,,FALSE,TRUE
3,meta_loc_subsite,subsite,REAN_00,4,,FALSE,TRUE
4,meta_comment_admin,comment_admin,REAN_00,5,,FALSE,TRUE
0,meta_id_ssn,ssn,REAN_01,1001,,FALSE,TRUE
5,meta_time_yearmon,rean_yearmon,REAN_01,1002,,FALSE,TRUE
6,meta_time_month,rean_month,REAN_01,1003,,FALSE,TRUE
7,meta_time_year,rean_year,REAN_01,1004,,FALSE,TRUE
8,meta_pers_banos,analyst_banos,REAN_01,1005,,FALSE,TRUE
9,meta_pers_ortega,analyst_ortega,REAN_01,1006,,FALSE,TRUE
10,meta_pers_avilaand,analyst_avilaand,REAN_01,1007,,FALSE,TRUE
11,meta_pers_avilaang,analyst_avilaang,REAN_01,1008,,FALSE,TRUE
12,meta_pers_rattray,analyst_rattray,REAN_01,1009,,FALSE,TRUE
13,cer_reans_total_ct,certot_rean,REAN_01,1010,,FALSE,TRUE
14,cer_df9_total_ct,certot_df9,REAN_01,1011,,FALSE,TRUE
15,cer_cuan_phtot,cuantot,REAN_01,1012,,FALSE,TRUE
16,cer_patl_phtot,patltot,REAN_01,1013,,FALSE,TRUE
17,cer_tzac_phtot,tzactot,REAN_01,1014,,FALSE,TRUE
18,cer_micc_phtot,micctot,REAN_01,1015,,FALSE,TRUE
19,cer_tlam_phtot,tlamtot,REAN_01,1016,,FALSE,TRUE
20,cer_xola_phtot,xolatot,REAN_01,1017,,FALSE,TRUE
21,cer_mete_phtot,metetot,REAN_01,1018,,FALSE,TRUE
22,cer_coyo_phtot,coyotot,REAN_01,1019,,FALSE,TRUE
23,cer_maza_phtot,mazatot,REAN_01,1020,,FALSE,TRUE
24,cer_aztec_phtot,aztetot,REAN_01,1021,,FALSE,TRUE
25,cer_rto_bowl_hemi,rtohemi,REAN_01,1022,,FALSE,TRUE
26,cer_rto_bowl_everted,rtoeverted,REAN_01,1023,,FALSE,TRUE
27,cer_tto,tto,REAN_01,1024,,FALSE,TRUE
28,cer_cto_amphora,cto,REAN_01,1025,,FALSE,TRUE
0,meta_id_ssn,ssn,REAN_02,2001,,FALSE,TRUE
29,cer_rto_incised,rtoincised,REAN_02,2002,,FALSE,TRUE
30,cer_rto_punctate,rtopunctate,REAN_02,2003,,FALSE,TRUE
31,cer_rto_vase,rtovase,REAN_02,2004,,FALSE,TRUE
32,cer_rto_mini,rtomini,REAN_02,2005,,FALSE,TRUE
33,cer_rto_molded,rtomolded,REAN_02,2006,,FALSE,TRUE
34,cer_rto_jar,rtojar,REAN_02,2007,,FALSE,TRUE
35,cer_brnshd_olla_tot,ollatot,REAN_02,2008,,FALSE,TRUE
36,cer_brnshd_olla_patl,ollapatl,REAN_02,2009,,FALSE,TRUE
37,cer_brnshd_olla_tzac,ollatzac,REAN_02,2010,,FALSE,TRUE
38,cer_brnshd_olla_micc,ollamicc,REAN_02,2011,,FALSE,TRUE
