order_index,variable_df11,variable_df8,table_df8,var_in_df8,coded_na_values_df8,order_df8_tables,variable_df9,table_df9,var_in_df9,coded_na_values_df9,order_df9_tables,code_table_df9,code_col_df9,label_col_df9,variable_df10,table_df10,long_format_df10,var_in_df10,df10_removed,df10_merged,df10_aggregated_var,df10_aggregated_var_df11_mergedvars,CodedVar,varCodesValues
0,meta_id_ssn,ssn,,TRUE,,,SSN,,TRUE,,,,,,SSN,,,TRUE,FALSE,FALSE,FALSE,,FALSE,
1,meta_loc_site,site,v301,TRUE,,31002,site,location,TRUE,,2,,,,Site,provTable,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,
2,meta_loc_subsite,subsite,v401,TRUE,NONE,41002,subsite,location,TRUE,NONE,3,,,,Subsite,provTable,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,
3,meta_loc_unit,unit,v401,TRUE,,41003,unit,location,TRUE,,4,,,,Unit,provTable,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,
4,meta_loc_northing,northing,v401,TRUE,-999,41004,northing,location,TRUE,-999,5,,,,Northing,provTable,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,
5,meta_loc_easting,easting,v401,TRUE,-999,41005,easting,location,TRUE,-999,6,,,,Easting,provTable,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,
6,meta_pers_field1,fldwrk1,v201,TRUE,-1,1002,fieldWorkers1,fieldWorkers,TRUE,-1,16002,Codes_personnel,code,description,workFie1,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,1=Rene Millon; 2=Bruce Drewitt; 3=James A. Bennyhoff; 4=Pedro Banos; 5=George L. Cowgill; 6=Michael W. Spence; 7=Matthew Wallrath; 8=Joseph D. Marino; 9=Warren T. D. Barbour; 10=Arnulfo de Lucio; 11=Jose de Lucio; 12=Darlena K. Blucher; 13=Daniel W. Hungerford; 14=Donald R. Sutherland; 15=S. Jeffrey K. Wilkerson; 16=Steve M. Sharnoff; 17=Silvestre Sanchez; 18=Charles K. Fletcher; 19=Charles C. Kolb; 20=Clara Millon; 21=Wendy Drewitt; 22=James W. Dow; 23=Mario de Lucio; 24=Paul Shankman; 25=Chris D. Dodds; 26=G. Raymond Krotser; 27=A. Jane Quisenberry; 28=Michael S. West; 29=Dan B. Bruhns; 30=Karen O. Bruhns; 31=Silvia G. Duran; 32=Erica West
7,meta_pers_field2,fldwrk2,v201,TRUE,-1,1003,fieldWorkers2,fieldWorkers,TRUE,-1,16003,Codes_personnel,code,description,workFie2,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,1=Rene Millon; 2=Bruce Drewitt; 3=James A. Bennyhoff; 4=Pedro Banos; 5=George L. Cowgill; 6=Michael W. Spence; 7=Matthew Wallrath; 8=Joseph D. Marino; 9=Warren T. D. Barbour; 10=Arnulfo de Lucio; 11=Jose de Lucio; 12=Darlena K. Blucher; 13=Daniel W. Hungerford; 14=Donald R. Sutherland; 15=S. Jeffrey K. Wilkerson; 16=Steve M. Sharnoff; 17=Silvestre Sanchez; 18=Charles K. Fletcher; 19=Charles C. Kolb; 20=Clara Millon; 21=Wendy Drewitt; 22=James W. Dow; 23=Mario de Lucio; 24=Paul Shankman; 25=Chris D. Dodds; 26=G. Raymond Krotser; 27=A. Jane Quisenberry; 28=Michael S. West; 29=Dan B. Bruhns; 30=Karen O. Bruhns; 31=Silvia G. Duran; 32=Erica West
8,meta_pers_field3,fldwrk3,v201,TRUE,-1,1004,fieldWorkers3,fieldWorkers,TRUE,-1,16004,Codes_personnel,code,description,workFie3,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,1=Rene Millon; 2=Bruce Drewitt; 3=James A. Bennyhoff; 4=Pedro Banos; 5=George L. Cowgill; 6=Michael W. Spence; 7=Matthew Wallrath; 8=Joseph D. Marino; 9=Warren T. D. Barbour; 10=Arnulfo de Lucio; 11=Jose de Lucio; 12=Darlena K. Blucher; 13=Daniel W. Hungerford; 14=Donald R. Sutherland; 15=S. Jeffrey K. Wilkerson; 16=Steve M. Sharnoff; 17=Silvestre Sanchez; 18=Charles K. Fletcher; 19=Charles C. Kolb; 20=Clara Millon; 21=Wendy Drewitt; 22=James W. Dow; 23=Mario de Lucio; 24=Paul Shankman; 25=Chris D. Dodds; 26=G. Raymond Krotser; 27=A. Jane Quisenberry; 28=Michael S. West; 29=Dan B. Bruhns; 30=Karen O. Bruhns; 31=Silvia G. Duran; 32=Erica West
9,meta_pers_field4,fldwrk4,v201,TRUE,-1,1005,fieldWorkers4,fieldWorkers,TRUE,-1,16005,Codes_personnel,code,description,workFie4,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,1=Rene Millon; 2=Bruce Drewitt; 3=James A. Bennyhoff; 4=Pedro Banos; 5=George L. Cowgill; 6=Michael W. Spence; 7=Matthew Wallrath; 8=Joseph D. Marino; 9=Warren T. D. Barbour; 10=Arnulfo de Lucio; 11=Jose de Lucio; 12=Darlena K. Blucher; 13=Daniel W. Hungerford; 14=Donald R. Sutherland; 15=S. Jeffrey K. Wilkerson; 16=Steve M. Sharnoff; 17=Silvestre Sanchez; 18=Charles K. Fletcher; 19=Charles C. Kolb; 20=Clara Millon; 21=Wendy Drewitt; 22=James W. Dow; 23=Mario de Lucio; 24=Paul Shankman; 25=Chris D. Dodds; 26=G. Raymond Krotser; 27=A. Jane Quisenberry; 28=Michael S. West; 29=Dan B. Bruhns; 30=Karen O. Bruhns; 31=Silvia G. Duran; 32=Erica West
10,meta_pers_field5,fldwrk5,v201,TRUE,-1,1006,fieldWorkers5,fieldWorkers,TRUE,-1,16006,Codes_personnel,code,description,workFie5,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,1=Rene Millon; 2=Bruce Drewitt; 3=James A. Bennyhoff; 4=Pedro Banos; 5=George L. Cowgill; 6=Michael W. Spence; 7=Matthew Wallrath; 8=Joseph D. Marino; 9=Warren T. D. Barbour; 10=Arnulfo de Lucio; 11=Jose de Lucio; 12=Darlena K. Blucher; 13=Daniel W. Hungerford; 14=Donald R. Sutherland; 15=S. Jeffrey K. Wilkerson; 16=Steve M. Sharnoff; 17=Silvestre Sanchez; 18=Charles K. Fletcher; 19=Charles C. Kolb; 20=Clara Millon; 21=Wendy Drewitt; 22=James W. Dow; 23=Mario de Lucio; 24=Paul Shankman; 25=Chris D. Dodds; 26=G. Raymond Krotser; 27=A. Jane Quisenberry; 28=Michael S. West; 29=Dan B. Bruhns; 30=Karen O. Bruhns; 31=Silvia G. Duran; 32=Erica West
11,meta_time_survcollect_yr,collyear,v201,TRUE,-1,1007,collectionYear,admin,TRUE,-1,1002,,,,collectionYear,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,
12,meta_time_survcollect_qtr,collqurt,v201,TRUE,-1,1008,collectionQuarter,admin,TRUE,-1,1003,Codes_quarter,code,description,collectionQuarter,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,1=December-February; ; 2=March-May ; 3=June-August ; 4=September-November
